Gr,PriceSav,PriceOrange,Vendor,Index
(un a $ 6.590),$ 6.590,$ 4.613,ETERNA,1
(un a $ 7.790),$ 7.790,$ 5.453,ETERNA,1
(un a $ 7.590),$ 7.590,$ 5.313,ETERNA,1
(un a $ 7.590),$ 7.590,$ 5.313,ETERNA,1
(un a $ 7.990),$ 7.990,$ 5.593,ETERNA,1
(un a $ 7.990),$ 7.990,$ 5.593,ETERNA,1
(un a $ 7.790),$ 7.790,$ 5.453,ETERNA,1
(un a $ 5.790),$ 5.790,$ 4.053,TASK,1
(un a $ 5.790),$ 5.790,$ 4.053,TASK,1
(un a $ 5.495),$ 10.990,$ 7.693,ETERNA,1
(un a $ 2.245),$ 4.490,$ 3.143,HOME CARE MP,1
(un a $ 2.890),$ 2.890,$ 2.023,HOME CARE MP,1
(un a $ 2.890),$ 2.890,$ 2.023,HOME CARE MP,2
(un a $ 4.490),$ 4.490,,HOME CARE MP,2
(un a $ 4.490),$ 4.490,,HOME CARE MP,2
(un a $ 7.590),$ 7.590,$ 5.313,ETERNA,2
(un a $ 6.790),$ 6.790,$ 4.753,ETERNA,2
(un a $ 6.990),$ 6.990,$ 4.893,ETERNA,2
(un a $ 10.790),$ 10.790,$ 7.553,ETERNA,2
(un a $ 5.990),$ 5.990,$ 4.193,TASK,2
(un a $ 5.045),$ 10.090,$ 7.063,UBL,2
(un a $ 4.590),$ 4.590,$ 3.213,SCOTCH BRITE,2
(un a $ 4.590),$ 4.590,$ 3.213,SCOTCH BRITE,2
(un a $ 11.390),$ 11.390,$ 7.973,ETERNA,2
(un a $ 8.190),$ 8.190,,ETERNA,3
(un a $ 8.190),$ 8.190,$ 5.733,ETERNA,3
(un a $ 13.390),$ 13.390,$ 9.373,ETERNA,3
(un a $ 13.390),$ 13.390,,ETERNA,3
(un a $ 10.990),$ 10.990,,ETERNA,3
(un a $ 5.295),$ 10.590,,TASK,3
(un a $ 5.990),$ 5.990,$ 4.193,TASK,3
(un a $ 9.690),$ 9.690,,TASK,3
(un a $ 9.590),$ 9.590,,TASK,3
(un a $ 7.790),$ 7.790,,TASK,3
(un a $ 7.790),$ 7.790,,TASK,3
(un a $ 619),$ 6.190,,TASK,3
(un a $ 939),$ 9.390,$ 6.573,TASK,4
(un a $ 5.990),$ 5.990,,TASK,4
(un a $ 5.990),$ 5.990,$ 4.193,TASK,4
(un a $ 699),$ 6.990,$ 4.893,TASK,4
